parcel_id,redev_friction
17179,100
19185,100
19251,100
18966,100
19144,100
19155,100
19017,100
19040,100
19177,100
19315,100
74846,100
74911,100
74936,100
74627,100
74643,100
74672,100
74689,100
76626,100
76853,100
76281,100
76779,100
76113,100
76255,100
76114,100
76151,100
76194,100
76208,100
76215,100
75233,100
75891,100
75867,100
82313,100
80960,100
82459,100
80510,100
14503,100
14564,100
14476,100
14386,100
14460,100
14293,100
14028,100
3087,100
3107,100
14844,100
15234,100
15263,100
73885,100
11808,100
11810,100
11734,100
11486,100
11615,100
12127,100
12088,100
12183,100
11857,100
16292,100
16214,100
16221,100
16232,100
12775,100
12879,100
12926,100
12984,100
13209,100
12751,100
13236,100
13242,100
13269,100
15349,100
15153,100
15891,100
16010,100
16027,100
15676,100
15737,100
15929,100
15936,100
18485,100
15917,100
17728,100
17731,100
17820,100
17904,100
18185,100
18181,100
18182,100
18263,100
18267,100
18088,100
18174,100
18154,100
18282,100
17555,100
16506,100
16513,100
17409,100
17472,100
17484,100
17490,100
16377,100
16524,100
16890,100
16895,100
17193,100
18067,100
19993,100
20225,100
20012,100
20108,100
20174,100
20096,100
19421,100
76561,100
19715,100
19658,100
19728,100
19638,100
19809,100
19441,100
19522,100
19462,100
76073,100
76026,100
76039,100
75045,100
75048,100
76466,100
76509,100
76514,100
76562,100
83103,100
83125,100
83139,100
83045,100
83057,100
82860,100
72345,100
73481,100
73620,100
73612,100
73866,100
73871,100
73571,100
73966,100
73975,100
74106,100
74116,100
74138,100
74261,100
75512,100
75739,100
75787,100
75777,100
75947,100
75673,100
75677,100
75647,100
82137,100
75818,100
75816,100
78103,100
78778,100
78241,100
80456,100
80412,100
79210,100
79003,100
78876,100
75617,100
75622,100
79353,100
80865,100
80663,100
77351,100
77372,100
77616,100
77636,100
78575,100
78160,100
78538,100
78568,100
78570,100
77286,100
80042,100
80094,100
80110,100
80165,100
80183,100
80244,100
80364,100
80369,100
80388,100
80608,100
80625,100
79474,100
79402,100
79406,100
78668,100
79378,100
78597,100
79133,100
79578,100
79678,100
78701,100
85365,100
85382,100
85396,100
85393,100
84847,100
14719,100
21090,100
14232,100
20560,100
14102,100
20617,100
20576,100
15103,100
15121,100
15405,100
15446,100
15584,100
20704,100
20763,100
73250,100
73246,100
21326,100
20535,100
77253,100
78504,100
77519,100
78630,100
77444,100
77453,100
77232,100
77280,100
77047,100
77114,100
77151,100
77157,100
77190,100
77216,100
16686,100
15839,100
16762,100
76564,100
75504,100
84877,100
84836,100
20686,100
20931,100
20493,100
20877,100
20765,100
20800,100
85414,100
18751,100
11983,100
11567,100
11581,100
12017,100
18344,100
18374,100
18376,100
18333,100
18338,100
18682,100
17085,100
17129,100
17169,100
17326,100
19113,100
19258,100
18890,100
19219,100
19290,100
19306,100
19230,100
74852,100
74902,100
74912,100
74718,100
74720,100
73268,100
74894,100
74537,100
74558,100
74575,100
74586,100
74611,100
74683,100
76627,100
76646,100
76692,100
76699,100
76287,100
76310,100
76319,100
76868,100
76254,100
82321,100
75872,100
82391,100
80929,100
80577,100
14572,100
14291,100
14521,100
14533,100
14384,100
14154,100
14130,100
15499,100
14788,100
14707,100
14850,100
15023,100
15034,100
73891,100
11499,100
11772,100
11881,100
12193,100
12207,100
12051,100
12027,100
11852,100
16347,100
16349,100
16189,100
12861,100
12934,100
13133,100
13152,100
13177,100
13192,100
15176,100
16096,100
17872,100
17628,100
15151,100
16034,100
16039,100
15865,100
15895,100
17391,100
16026,100
15461,100
18314,100
17365,100
16050,100
17647,100
17662,100
17854,100
17823,100
17847,100
17907,100
18150,100
17520,100
17539,100
16360,100
16375,100
16564,100
17415,100
16777,100
16830,100
16938,100
17007,100
17035,100
17353,100
17928,100
